Epoch,Split,Layer,Group,SubID,Accuracy,Precision,Recall,F1,AP
1,Val,ClassifyLayer_1,greenery,6,0.9825,0.0,0.0,0.0,0.0175
1,Val,ClassifyLayer_1,greenery,MEAN,0.8320714285714287,0.09524285714285714,0.14285714285714285,0.1142857142857143,0.2158142857142857
1,Val,ClassifyLayer_1,infrastructure,0,0.9474,0.0,0.0,0.0,0.0526
1,Val,ClassifyLayer_1,infrastructure,1,0.2632,0.2632,1.0,0.4167,0.2479
1,Val,ClassifyLayer_1,infrastructure,2,0.7193,0.0,0.0,0.0,0.2807
1,Val,ClassifyLayer_1,infrastructure,3,0.9825,0.0,0.0,0.0,0.0175
1,Val,ClassifyLayer_1,infrastructure,4,0.8947,0.0,0.0,0.0,0.1053
1,Val,ClassifyLayer_1,infrastructure,5,0.8421,0.0,0.0,0.0,0.1579
1,Val,ClassifyLayer_1,infrastructure,6,0.8947,0.0,0.0,0.0,0.0932
1,Val,ClassifyLayer_1,infrastructure,7,0.9649,0.0,0.0,0.0,0.0351
1,Val,ClassifyLayer_1,infrastructure,MEAN,0.8136,0.0329,0.125,0.0520875,0.12377500000000001
1,Val,ClassifyLayer_1,road,0,0.6316,0.0,0.0,0.0,0.3985
1,Val,ClassifyLayer_1,road,1,0.1228,0.1228,1.0,0.2188,0.1389
1,Val,ClassifyLayer_1,road,2,0.6316,0.0,0.0,0.0,0.3985
1,Val,ClassifyLayer_1,road,3,0.8596,0.0,0.0,0.0,0.1404
1,Val,ClassifyLayer_1,road,4,0.2632,0.2632,1.0,0.4167,0.2632
1,Val,ClassifyLayer_1,road,5,0.8246,0.0,0.0,0.0,0.1754
1,Val,ClassifyLayer_1,road,6,0.8421,0.0,0.0,0.0,0.1579
1,Val,ClassifyLayer_1,road,7,0.9123,0.0,0.0,0.0,0.0877
1,Val,ClassifyLayer_1,road,MEAN,0.635975,0.04825,0.25,0.0794375,0.2200625
1,Val,AVG_ALL,building,0,0.5263,0.0,0.0,0.0,0.4499
1,Val,AVG_ALL,building,1,0.7895,0.0,0.0,0.0,0.2105
1,Val,AVG_ALL,building,2,0.6667,0.0,0.0,0.0,0.3333
1,Val,AVG_ALL,building,3,0.614,0.0,0.0,0.0,0.3772
1,Val,AVG_ALL,building,4,0.9649,0.0,0.0,0.0,0.0351
1,Val,AVG_ALL,building,5,1.0,0.0,0.0,0.0,0.0
1,Val,AVG_ALL,building,6,0.7018,0.0,0.0,0.0,0.2982
1,Val,AVG_ALL,building,7,0.5614,0.0,0.0,0.0,0.4386
1,Val,AVG_ALL,building,MEAN,0.728075,0.0,0.0,0.0,0.26785000000000003
1,Val,AVG_ALL,greenery,0,0.8772,0.0,0.0,0.0,0.125
1,Val,AVG_ALL,greenery,1,0.8947,0.0,0.0,0.0,0.1053
1,Val,AVG_ALL,greenery,2,0.807,0.0,0.0,0.0,0.193
1,Val,AVG_ALL,greenery,3,0.7368,0.0,0.0,0.0,0.253
1,Val,AVG_ALL,greenery,4,0.6667,0.6667,1.0,0.8,0.6667
1,Val,AVG_ALL,greenery,5,0.8596,0.0,0.0,0.0,0.1502
1,Val,AVG_ALL,greenery,6,0.9825,0.0,0.0,0.0,0.0175
